id,total,category_id,created
26cb1941-f248-4ae7-93aa-a99f0c702678,43.00,24,2013-01-01
864f4d94-27a2-41af-829a-aa79bd829ea1,7.80,11,2013-01-01
c74621d3-74ae-4993-bcb8-c6e55c0403b3,1.67,2,2013-01-01
6951d344-c92d-4fce-83e6-4ca1752acd32,44.73,2,2013-01-01
981fb309-ddee-494e-8346-d3d667a08e7b,75.13,10,2013-01-01
18dd99de-9817-43f3-8eeb-92b7fcfbfdc9,19.02,17,2013-01-01
f8d69ad9-427c-466e-95a9-98cce65bb6dd,218.33,4,2013-01-01
77a285fe-6882-459b-ae26-5ca45c539ebd,447.00,10,2013-01-03
b03b9e8c-dbe0-401b-ba6a-ab4b87b28bd6,34.94,6,2013-01-01
47d1a107-8c09-429e-9d47-c5c20242b6f5,1.72,6,2013-01-01
2d10ea03-6952-4faa-893f-69429d776ae8,93.25,14,2013-01-01
383a7b25-e4b0-4683-bd72-0f2ce29c9285,5.89,3,2013-01-02
c0319176-b130-4975-a829-a4a4fe32a7cd,2.61,21,2013-01-01
659f1d3a-6d44-4501-8865-0c47c6a4113a,1.50,23,2013-01-01
697157c1-9cbf-4a0d-a976-c1093bc377b9,430.00,12,2013-01-01
9f045ca8-c9e3-492a-aaf4-296c1ad59d4b,31.68,24,2013-01-01
d8e41dd2-3768-4112-92c9-02d01c91cb48,335.00,22,2013-01-01
84f6444b-05c8-499e-a8d9-eba28de11c8c,122.00,4,2013-01-01
6dc2391c-9cb8-40ec-bedb-988afea0b8d8,112.00,18,2013-01-01
c4ae1853-14ec-4dc5-9569-87936bbfc581,62.25,6,2013-01-01
a04692d9-b135-4842-bcfc-eb9a4edb40da,9.50,2,2013-01-01
a27e800a-29d2-42b6-a6d3-0378615379e7,12.45,20,2013-01-01
64c7b8b8-7006-4a6b-b2b5-a73e4b6e6707,18.60,10,2013-01-01
463fdae0-e389-4be0-b9c3-b020d63b1fb8,2.37,1,2013-01-01
f31f171e-f7fc-4c14-ae1c-b36d8bc6eed1,1.39,9,2013-01-01
5ffc61e1-a484-4ed2-9f9a-34b2cd96ec56,23.71,19,2013-01-01
d8478318-1819-48c3-9cd1-49ab07c82eed,333.12,14,2013-01-01
1a553513-c058-4363-a96f-cef9a3a88ca5,155.82,18,2013-01-01
5fc7b91f-d308-4642-a0ec-6c89e9e6f0ba,55.97,3,2013-01-01
761b3213-8d70-46ba-9bf5-d67d35f748bd,12.36,4,2013-01-01
3aeef9c5-edbf-4dd2-8ca5-eae367884281,1.58,17,2013-01-01
19c05bc2-760f-4f19-a53c-8b2811996073,3.00,20,2013-01-05
54698e35-97fd-420b-b252-719005551cc2,23.40,23,2013-01-01
90bf5ab5-f750-4e13-83d9-53d1d41a2674,1.70,19,2013-01-01
a7cf02dc-aef9-4da0-bc3b-530adb783d9a,3.27,6,2013-01-01
b5f287cd-7b24-481c-8bee-43748301f0b2,17.00,22,2013-01-01
4f7eaecf-a75f-4357-bd19-87461356659c,1.28,10,2013-01-01
e84c5c97-b0db-40d4-8a1f-073ac6de8342,84.25,24,2013-01-01
89389b3c-18f2-43e8-a96e-424b92f5d59b,197.76,22,2013-01-01
77097091-59cb-455e-a183-363a78c10839,3.87,20,2013-01-01
67c0cdf6-a8b8-4904-acde-567141be3c50,42.91,8,2013-01-01
28d00741-a24d-4ac8-9658-c8aca98197b7,92.96,1,2013-01-01
639141ef-a331-48ea-82db-ff0aaf5b21ac,2.54,20,2013-01-01
2cd2602d-5ec6-4c69-bb24-2fa1bb65c013,3.88,5,2013-01-01
ca4190cc-bbfb-4768-af07-55f977117ca0,224.00,13,2013-01-01
44182daf-b36f-49a1-9cc7-efc4c5c86032,5.66,8,2013-01-01
00a23566-8e6c-4e55-ad25-7aee46940c7c,93.89,10,2013-01-01
ae381490-5ee6-44f6-ac54-d8012c0d74a0,24.00,10,2013-01-01
432cb1ea-1035-42a0-8321-2baa840776a3,107.31,9,2013-01-01
e99fa6ef-9d37-456e-a750-1ed5c8436c03,489.54,17,2013-01-02
5ea5f571-9b2d-478f-bf1d-ded577555803,10.00,12,2013-01-01
50a66e36-7001-4ab2-9677-07bf4fad3da3,26.63,14,2013-01-01
6ab09b42-3072-45f5-a3f5-ff8876ef9acd,94.00,17,2013-01-01
bab7d15a-b58d-4cee-8961-3edbc1bda7bc,136.23,22,2013-01-01
015408bd-9f44-4e5b-ab68-b6132cefb9e5,5.37,22,2013-01-01
ab7ea9f7-979b-4f96-8156-928141476773,52.00,9,2013-01-01
04e29deb-8606-4d87-9a4d-390b3e69badd,498.16,16,2013-01-06
